wellbeing,log_income,income,income_above_100
74.617,12.43,250000,1
64.952,10.92,55000,0
53.895,11.63,112500,1
60.689,10.92,55000,0
69.176,11.63,112500,1
70.899,10.46,35000,0
76.524,10.71,45000,0
48.416,10.13,25000,0
65.246,10.71,45000,0
60.586,12.07,175000,1
64.242,11.63,112500,1
59.625,10.13,25000,0
61.199,10.46,35000,0
51.478,10.13,25000,0
62.697,11.23,75000,0
61.627,10.46,35000,0
61.199,9.62,15000,0
58.695,11.23,75000,0
54.38,10.13,25000,0
66.255,11.83,137500,1
65.866,9.62,15000,0
52.269,10.13,25000,0
53.895,10.92,55000,0
57.992,11.08,65000,0
58.986,11.08,65000,0
65.342,11.63,112500,1
89.202,12.07,175000,1
43.963,11.46,95000,0
64.371,11.23,75000,0
57.533,11.83,137500,1
79.16,10.46,35000,0
49.269,10.13,25000,0
75,11.63,112500,1
66.409,12.07,175000,1
57.453,11.23,75000,0
55.658,12.07,175000,1
70.417,12.07,175000,1
56.51,11.63,112500,1
72.961,12.9,4.00E+05,1
76.342,10.13,25000,0
74.091,11.83,137500,1
65.779,11.83,137500,1
60.138,10.92,55000,0
64,10.92,55000,0
54.893,12.43,250000,1
65.023,11.08,65000,0
65.952,11.08,65000,0
54.992,12.07,175000,1
36.303,9.62,15000,0
73.099,10.13,25000,0
60.341,11.35,85000,0
69.689,12.43,250000,1
84.559,11.08,65000,0
67.977,10.92,55000,0
54.458,11.35,85000,0
59.563,11.46,95000,0
66.606,11.08,65000,0
65.779,11.35,85000,0
58.51,11.35,85000,0
64.427,11.35,85000,0
75.974,11.83,137500,1
60.45,10.13,25000,0
74.881,12.07,175000,1
52.207,11.23,75000,0
63.336,10.46,35000,0
85.322,11.08,65000,0
55.17,11.23,75000,0
61.056,11.35,85000,0
65.739,10.71,45000,0
63,11.83,137500,1
81.703,12.07,175000,1
73.642,10.13,25000,0
79.973,12.07,175000,1
78.82,12.43,250000,1
49.336,11.63,112500,1
76.893,11.08,65000,0
73.323,9.62,15000,0
62.524,10.71,45000,0
60.586,10.92,55000,0
69.73,12.07,175000,1
52.156,10.13,25000,0
85.115,11.35,85000,0
46.004,10.92,55000,0
55,10.71,45000,0
83.35,10.46,35000,0
3.368,11.63,112500,1
82.36,11.08,65000,0
49.409,11.83,137500,1
65.091,10.46,35000,0
72.013,12.07,175000,1
38.856,10.92,55000,0
68.858,10.13,25000,0
64.4,12.9,4.00E+05,1
53.401,10.71,45000,0
51.42,10.92,55000,0
48.998,11.63,112500,1
59.563,12.07,175000,1
50.918,12.9,4.00E+05,1
50,12.07,175000,1
78.462,10.92,55000,0
79.759,11.83,137500,1
59.472,12.07,175000,1
87.409,11.23,75000,0
74.617,11.63,112500,1
64.926,12.43,250000,1
43.104,11.63,112500,1
69.488,11.83,137500,1
58.19,12.07,175000,1
77.448,10.92,55000,0
74.709,12.43,250000,1
62.502,11.08,65000,0
73.099,11.23,75000,0
62.736,11.23,75000,0
44.983,11.83,137500,1
54.61,10.13,25000,0
70.184,11.23,75000,0
53.681,11.08,65000,0
62.137,9.62,15000,0
85.322,11.35,85000,0
56.103,10.71,45000,0
54.216,10.71,45000,0
59.442,12.43,250000,1
43.104,10.13,25000,0
59.91,10.71,45000,0
56.703,11.83,137500,1
50.475,12.9,4.00E+05,1
57.353,12.07,175000,1
69.076,10.71,45000,0
49.941,11.83,137500,1
71.403,11.23,75000,0
60.875,10.71,45000,0
48.531,10.92,55000,0
42.791,11.83,137500,1
67.977,11.08,65000,0
70.184,11.35,85000,0
82.468,11.83,137500,1
45.717,11.83,137500,1
68.172,10.71,45000,0
71.153,11.63,112500,1
90.703,11.08,65000,0
48.202,12.43,250000,1
61.12,10.46,35000,0
56.674,12.43,250000,1
62.288,10.71,45000,0
87.013,11.23,75000,0
56.417,10.71,45000,0
93.9,11.08,65000,0
68.404,11.35,85000,0
67.506,11.23,75000,0
63.978,11.83,137500,1
63.761,11.63,112500,1
76.091,10.92,55000,0
53.352,11.08,65000,0
50,10.92,55000,0
72.848,12.43,250000,1
64,10.13,25000,0
71.315,12.07,175000,1
53.21,11.63,112500,1
56.008,10.13,25000,0
63.569,12.43,250000,1
54.127,11.46,95000,0
49.791,11.46,95000,0
56.927,12.43,250000,1
62.911,10.46,35000,0
58.249,10.71,45000,0
53.555,10.13,25000,0
54.763,9.62,15000,0
57.045,10.13,25000,0
53.486,11.23,75000,0
71.232,11.35,85000,0
78.615,10.92,55000,0
